Extracted_Code,acc. date,fat.,Airport Code,Longitude,Latitude
EDE,2 Jan 1997,2,EDE,-76.65,36.066667
YQN,3 Jan 1997,0,YQN,-86.7,50.166667
LPL,3 Jan 1997,0,LPL,-2.849722,53.333611
ALA,7 Jan 1997,2,ALA,77.040278,43.351944
TXL,7 Jan 1997,0,TXL,13.289444,52.561111
FGI,7 Jan 1997,3,FGI,-171.666667,-14.166667
DJE,11 Jan 1997,0,DJE,10.775556,33.875
AUG,14 Jan 1997,0,AUG,-69.8,44.316667
MUT,16 Jan 1997,0,MUT,-91.144722,41.363889
KGA,16 Jan 1997,0,KGA,22.466667,-5.9
POP,1 Jan 1998,0,POP,-70.666667,19.8
TAM,2 Jan 1998,3,TAM,-97.865833,22.296389
IFN,5 Jan 1998,0,IFN,51.861389,32.750833
PTF,5 Jan 1998,0,PTF,177.216389,-17.783056
AGC,6 Jan 1998,0,AGC,-79.933333,40.35
LMN,8 Jan 1998,0,LMN,115.0,4.666667
YEG,9 Jan 1998,0,YEG,-113.579722,53.309722
SSX,11 Jan 1998,0,SSX,36.3,41.278056
IAH,13 Jan 1998,2,IAH,-95.341389,29.984444
BRQ,13 Jan 1998,2,BRQ,16.694444,49.151389
JRO,1 Jan 1999,0,JRO,37.75,3.75
GCI,12 Jan 1999,2,GCI,-2.6,49.433333
GKE,13 Jan 1999,4,GKE,6.116667,50.95
OLB,13 Jan 1999,0,OLB,9.5175,40.898611
ABV,5 Jan 2000,1+1,ABV,7.263056,9.006667
PEN,9 Jan 2000,0,PEN,100.266667,5.3
GYE,14 Jan 2000,0,GYE,-79.883611,2.1575
SCH,4 Jan 2001,0,SCH,-73.928889,42.8525
DUE,5 Jan 2001,0+1,DUE,20.816667,-7.4
LAD,8 Jan 2001,0,LAD,13.233333,-8.85
EZE,9 Jan 2001,0,EZE,-58.535833,-34.822222
FTW,11 Jan 2001,0,FTW,-96.85,32.855556
SXF,2 Jan 2002,0,SXF,13.508611,52.502778
BHX,4 Jan 2002,5,BHX,-1.75,52.45
LED,8 Jan 2002,0,LED,30.05,59.95
